WilsonReeder Name	English Name	SpecimenID	Wikipedia Name
Cebus_apella	Tufted capuchin	ApelleCebusApell_f4b9	Tufted_capuchin
Ateles_paniscus	Black spider monkey	Atele_6717	Red-faced_spider_monkey
Ateles_paniscus	Black spider monkey	AteleAtelesAter_7245	Red-faced_spider_monkey
Daubentonia_madagascariensis	Aye-aye	AyeAyeDaubentoni_cb56	Aye_aye
Colobus_polykomos	King colobus	ColobeColobusPol_6118	King_colobus
Aotus_trivirgatus	Douroucouli,Owl monkey,Northern night monkey	DouroucouliAotus_091c	Three-striped_night_monkey
Galago_demidoff	Demidoff's galago	GalagoDemidoviiG_6cf3	Prince_Demidoffs_bushbaby
Semnopithecus_entellus	Hanuman langur	LangurIndienPith_8390	Northern_plains_gray_langur
Eulemur_mongoz	Mongoose lemur	LemurMongosLemur_b941	Mongoose_lemur
Lepilemur_ruficaudatus	Red-tailed sportive lemur	LepilemurAQueueR_309f	Red-tailed_sportive_lemur
Lemur_catta	Ring-tailed lemur	MakiCattaLemurCa_dec8	Ring-tailed_lemur
Cercocebus_atys	Sooty mangabey	MangabeyCouronne_6b65	Cercocebus_lunulatus
Saguinus_oedipus	Cotton-top tamarin	MarsousetOedipom_e834	Cotton-top_tamarin
Mirza_coquereli	Coquerel's mouse lemur	MicrocebeDeCoque_e3a9	Coquerels_giant_mouse_lemur
Microcebus_murinus	Grey mouse lemur	MicrocebeMignonM_ca6c	Gray_mouse_lemur
Cercopithecus_cephus_cephus	Moustached guenon	MoustacLasiopygi_23cc	Moustached_guenon
Loris_tardigradus	Red slender loris	NycticebusTardig_08cb	Red_slender_loris
Callithrix_penicillata	Black-pencilled marmoset	OuistitiAPinceau_b4aa	Black-tufted_marmoset
Trachypithecus_(Trachypithecus)_germaini	Indochinese lutung	PithecusGermaini_6a2c	Indochinese_lutung
Saimiri_sciureus	Common squirrel monkey	SaimiriCassiquia_7176	Squirrel_monkey
Saimiri_sciureus	Common squirrel monkey	SaimiriCassiquia_eb44	Squirrel_monkey
Lagothrix_lagotricha	Common woolly monkey	SingeLaineuxLago_0f84	Brown_woolly_monkey
Varecia_variegata_variegata	Black-and-white ruffed lemur	VariNoirEtBlancL_4d0e	Black-and-white_ruffed_lemur
Chlorocebus_sabaeus	Green monkey	VervetCercopithe_72ae	Green_monkey
Papio_hamadryas	Hamadryas baboon	BabouinCercopith_a723	Hamadryas_baboon
Macaca_fascicularis	Crab-eating macaque	MacacaFascicular_3a21	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacacaFascicularis_32200	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacacaFascicularis_32202	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacacaFascicularis_32204	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacacaFascicularis_32205	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacacaFascicularis_mf01	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacacaFascicularis_mf02	Crab-eating_macaque
Macaca_fascicularis	Crab-eating macaque	MacaqueCrabierMa_8f9e	Crab-eating_macaque
Gorilla_beringei_graueri	Eastern lowland gorilla	GorillaBeringeiG_0854	Eastern gorilla
Gorilla_gorilla_gorilla	Western lowland gorilla	Gorilla_kinyani	Western lowland gorilla
Lophocebus_albigena	Grey-cheeked mangabey	MangabeyCercoceb_4458	Grey-cheeked_mangabey
Cebus_capucinus	White-faced sapajou	SapajouCapucinCe_d971	White-headed_capuchin
Pongo_pygmaeus	Bornean orangutan	Orangoutan_80bb	Orangutan
Macaca_mulatta	Rhesus monkey	MacaqueRhesusMac_bdf8	Rhesus_macaque
Macaca_mulatta	Rhesus monkey	MacacaMulatta_32198	Rhesus_macaque
Macaca_mulatta	Rhesus monkey	MacacaMulatta_32199	Rhesus_macaque
Macaca_mulatta	Rhesus monkey	MacacaMulatta_32201	Rhesus_macaque
Macaca_mulatta	Rhesus monkey	MacacaMulatta_32203	Rhesus_macaque
Macaca_mulatta	Rhesus monkey	MacacaMulatta_mm01	Rhesus_macaque
Pan_troglodytes_troglodytes	Central chimpanzee	Abby_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Amanda_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Artemus_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Arthur_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Azalea_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Barbara_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Barney_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	Carl_Yerkes	Chimpanzee
Pan_troglodytes_troglodytes	Central chimpanzee	David_Yerkes	Chimpanzee
Homo_sapiens	Human	51058	Human
Homo_sapiens	Human	51060	Human
Homo_sapiens	Human	51061	Human
Homo_sapiens	Human	51062	Human
Homo_sapiens	Human	51063	Human
Homo_sapiens	Human	51114	Human
Homo_sapiens	Human	51116	Human
Homo_sapiens	Human	51118	Human
Homo_sapiens	Human	51152	Human
Homo_sapiens	Human	51153	Human
Pan_paniscus	Pygmy chimpanzee	Bonobo_brian	Bonobo
Hylobates_lar	Common gibbon	Gibbon_buddy	Gibbon

